Model      ,Description
Models 0.x,Data introductions
0.00,  Exact 2024 (single stock `h1` and two-stock `h2`) model and data set (model 1.07) from SC12.
0.01,  As 0.00 but with revised catches through 2024 (currently still estimates)
0.02,"  As 0.01 but with updated 2024 fishery age composition data for N_Chile, SC_Chile, and Offshore_Trawl, and updated 2024 fishery length composition data for FarNorth"
0.03,  As 0.02 but with updated 2024 weight at age data for all fisheries and their associated CPUE indices
0.04,  As 0.03 but replaced offshore CPUE up to 2024
0.05,  As 0.04 but with 2025 catch projections
0.06,"  As 0.05 but with updated 2025 fishery age composition data for N_Chile, SC_Chile, and Offshore_Trawl, and updated 2025 fishery length composition data for FarNorth"
0.07,"  As 0.06 but with updated 2025 weight at age data for N_Chile, SC_Chile, and FarNorth fleets, and for their associated CPUE indices"
0.08,  As 0.07 but replaced SC_Chile_CPUE index (traditional absolute scaled CPUE by trip)
0.09,  As 0.08 but replaced Peru_CPUE index
0.1,"  As 0.09 but updated 2025 AcousN index, with associated age composition and weight at age"
Models 1.x,Updated Model and Sensitivities
1.00," As 0.10 but with updated model (selectivity changes, recruitment) to 2025; 0.10 data file"
**Leave one in analysis**,
1.01,"As 1.00 but with downweighted Chile AcousN, Offshore CPUE, and Peru CPUE"
1.02,"As 1.00 but with downweighted Chile AcousN, Chile CPUE, and Peru CPUE"
1.03,"As 1.00 but with downweighted Chile CPUE, Offshore CPUE, and Chile AcousN"
1.04,"As 1.00 but with downweighted Chile CPUE, Offshore CPUE, and Peru CPUE"
1.05,"As 1.00 but with downweighted Chile CPUE, Offshore CPUE, Peru CPUE, and pre-2000 AcousN"
**Leave one out analysis**,
1.06,As 1.00 but with downweighted Chile CPUE
1.07,As 1.00 but with downweighted Offshore CPUE
1.08,As 1.00 but with downweighted Peru CPUE
1.09,As 1.00 but with downweighted Chile AcousN
**Regularly scheduled sensitivities**,
1.10,As 1.00 but with selectivity change implemented for 2025 Offshore fishery
1.11,As 1.10 but with selectivity change implemented for 2025 SC Chile fishery
1.12,As 1.11 but with increased weight for 2025 age compositions in the offshore and SC Chile fishery
1.13,As 1.12 but with downweighted early years (pre-2000) of AcousN
1.14,As 1.13 but with updates to historical weight at age for the FarNorth fleet
Models 1.xx.yy,Base Model Projections
1.xx.ls,As 1.xx but low steepness and short recruitment time series (2001-2015)
